TOT Global CMP22 (vent/cor) [kW-hr/m^2],MAX Global CMP22 (vent/cor) [W/m^2],AVG Tower Dry Bulb Temp [deg C],MAX Tower Dry Bulb Temp [deg C],MIN Tower Dry Bulb Temp [deg C],AVG Tower RH [%],MAX Tower RH [%],MIN Tower RH [%],AVG Total Cloud Cover [%],MAX Total Cloud Cover [%],MIN Total Cloud Cover [%],AVG Station Pressure [mBar],MAX Station Pressure [mBar],MIN Station Pressure [mBar],AVG Precipitation [mm],MAX Precipitation [mm],MIN Precipitation [mm]
49591,12874200,115617,175200,68350,623537,824000,229800,391750,1000000,-10000,8132731,8184610,8090590,0,0,0
65896,12116400,94834,150300,42330,575175,990000,308400,226472,970000,-10000,8204544,8241670,8184320,0,0,0
87030,10519100,132176,221500,34750,376073,754400,135200,65646,580000,-10000,8226143,8242880,8206900,0,0,0
77649,10843500,143039,214100,77120,385271,700500,114200,276882,970000,-10000,8226175,8253570,8198790,0,0,0
24139,11309100,56825,108800,32680,896192,1001000,636800,518678,1000000,-10000,8218789,8252810,8186210,2,2540,0
32930,9774070,68642,121900,27690,869983,1001000,609900,527975,1000000,-10000,8146867,8197560,8117430,23,2540,0
9216,2879430,48239,73560,20180,1000996,1001000,995000,503229,990000,-10000,8121743,8142550,8102500,85,2540,0
17590,6377680,44165,73480,18760,947645,1001000,714800,509618,990000,-10000,8177691,8212300,8136680,7,2540,0
74539,11104400,108539,179900,47060,648632,1001000,345500,143721,820000,-10000,8178296,8208230,8155950,0,0,0
76152,12744500,157911,223700,94800,386981,584900,208300,258381,940000,-10000,8122884,8156360,8098290,0,0,0
75267,11496500,186086,253100,119300,324694,460400,180200,293681,960000,-10000,8119827,8133360,8107450,0,0,0
84831,11466300,200766,269800,112700,290183,551500,96400,197931,810000,-10000,8118364,8146590,8088650,0,0,0
76558,10479100,158321,214500,111200,478658,853000,143500,201900,990000,-10000,8110765,8138620,8080470,0,0,0
57839,11963300,122033,176000,75520,561428,740700,330600,308153,980000,-10000,8133791,8147210,8119370,9,2540,0
70067,13258400,140150,204500,70270,551077,703900,271500,265560,970000,-10000,8131208,8154090,8109010,0,0,0
72986,12862800,149353,211900,85600,447103,709200,266800,243389,950000,-10000,8150994,8170280,8125210,0,0,0
28717,10959500,108716,177400,75490,640481,985000,372600,455493,1000000,-10000,8142260,8169350,8121510,0,0,0
49580,12067600,102500,147800,70950,670574,1001000,455900,488905,1000000,-10000,8129665,8154430,8112840,21,2540,0
72006,13483600,146391,218600,81500,420619,625600,219900,237550,950000,-10000,8167194,8202820,8135830,0,0,0
64864,12539100,164178,248200,105100,372132,579600,185200,306618,990000,-10000,8195524,8209070,8177300,0,0,0
69545,12472400,173376,256800,105500,331959,522100,140400,316889,990000,-10000,8167400,8191670,8142410,0,0,0
66579,12686700,130061,183000,84200,624217,847000,438000,400965,990000,-10000,8193577,8208520,8172530,2,2540,0
81919,12996800,151537,226100,83700,682923,1001000,358600,250863,970000,-10000,8194900,8216530,8171320,39,5080,0
86679,10418300,198118,272000,116200,347579,703300,144900,150396,980000,-10000,8195940,8207390,8179940,0,0,0
76933,11002900,206791,255000,159900,316524,575000,201300,329743,950000,-10000,8214677,8248480,8189780,0,0,0
88937,10359300,191571,245100,137000,422370,630800,269200,61813,600000,-10000,8248702,8264240,8233260,0,0,0
86714,11321400,204139,279800,131900,393051,575600,176200,126222,960000,-10000,8206682,8235060,8186170,0,0,0
66075,10967800,194518,283200,139000,497643,923000,257500,292742,1000000,-10000,8195811,8223280,8172010,12,2540,0
58306,11474700,186100,252500,123400,499855,763900,226000,315007,980000,-10000,8173363,8198140,8155350,0,0,0
64534,13735500,214958,283100,172300,335330,438800,207600,382500,1000000,-10000,8159160,8166160,8152880,0,0,0
80811,10274300,242025,309800,185800,298121,430200,184400,148340,1000000,-10000,8157777,8169660,8145480,0,0,0
78376,11542900,260424,335700,194800,206382,289400,111600,275889,980000,-10000,8171121,8181380,8151540,0,0,0
86218,10360700,245610,327500,169800,313726,740900,140000,153840,970000,-10000,8171416,8200690,8142250,26,5080,0
68815,12334100,210904,289300,150000,459861,787200,215200,340965,990000,-10000,8206795,8231230,8183110,0,0,0
59700,12678300,165040,232700,123900,701491,1000000,369100,364078,1000000,-10000,8190798,8229440,8152090,145,22860,0
89103,11654500,192178,270000,96000,348346,675400,145600,78782,650000,-10000,8148482,8164380,8129420,0,0,0
91408,10503600,236499,313700,153000,229641,377100,106800,53382,170000,-10000,8147349,8167990,8121200,0,0,0
89399,10581200,255041,322100,180500,149357,287100,72070,85119,530000,-10000,8148203,8182940,8132110,0,0,0
86865,10320000,245158,300500,200400,264508,514200,132500,65819,320000,-10000,8209130,8234630,8183000,0,0,0
86160,10041400,243889,323800,166600,403234,674800,197700,69645,290000,-10000,8235140,8253830,8217050,0,0,0
87076,11487900,275664,354000,203800,261789,528000,97900,123069,580000,-10000,8226356,8255170,8211470,0,0,0
44711,12314400,204782,237500,175800,566331,772500,269800,377389,990000,-10000,8262366,8289660,8236250,0,0,0
76397,9984410,261060,363400,161500,402737,795300,115000,339347,1000000,-10000,8198062,8236050,8162880,5,2540,0
42427,13123200,218368,269100,148100,391303,829000,171700,467349,990000,-10000,8211065,8241070,8179510,7,2540,0
60730,13384800,230223,317000,174100,395330,536500,195200,299493,990000,-10000,8202821,8222850,8193340,0,0,0
54183,11522100,246146,324900,182400,312611,501500,145200,356868,990000,-10000,8175774,8208130,8157580,0,0,0
62727,12024100,226534,288400,163900,371769,665600,220600,332143,990000,-10000,8197557,8235840,8165810,0,0,0
87757,10345100,239335,317300,160400,344411,629500,134900,89889,720000,-10000,8223249,8236360,8206980,0,0,0
88320,10251300,247004,316700,182700,278109,782800,128900,61514,400000,-10000,8247020,8268360,8230580,0,0,0
76682,10001200,223456,322600,149400,523033,1000000,155000,210572,990000,-10000,8244114,8267670,8206140,2,2540,0
73152,11624900,207695,307200,117000,532236,998000,135400,269165,1000000,-10000,8224024,8248870,8206320,0,0,0
43471,10045500,187602,238500,149600,604542,1000000,376800,488361,990000,-10000,8224683,8236300,8205520,28,2540,0
37878,10886800,176205,234800,144100,851886,1000000,449400,517127,1000000,-10000,8199789,8227470,8173280,34,2540,0
44580,12849800,182959,232700,150800,701189,1000000,434000,492227,990000,-10000,8186622,8194780,8173280,9,2540,0
65128,13841000,226715,301200,171200,345837,547700,147200,331833,920000,-10000,8185561,8191240,8178380,0,0,0
68443,12804000,249933,321300,195700,264751,458700,148000,251722,940000,-10000,8183653,8194080,8171850,0,0,0
74798,13022800,241103,317300,176500,312494,487600,145400,258660,980000,-10000,8173261,8192000,8158210,0,0,0
68161,13056800,250616,336600,153100,239461,547700,57400,220236,940000,-10000,8151046,8181570,8127050,0,0,0
87922,10261200,238776,299600,174100,242273,412500,132900,85049,400000,-10000,8172953,8195500,8142800,0,0,0
69170,11539900,228227,318400,151300,374336,697700,129000,194694,930000,-10000,8196290,8206960,8183750,0,0,0
81651,11911500,273648,345900,189000,175201,336900,86200,139308,780000,-10000,8188093,8203750,8168620,0,0,0
79624,12439000,286978,357800,216200,131517,230900,54600,179403,890000,-10000,8125252,8169830,8087730,0,0,0
82972,11853300,230598,293400,169500,276479,489500,118100,124421,710000,-10000,8137973,8178190,8099820,0,0,0
84684,10268400,233413,312700,145500,268612,476700,138000,92125,600000,-10000,8163310,8179620,8142540,0,0,0
82219,10330800,241897,312600,171200,166295,254200,103600,110417,700000,-10000,8193472,8215540,8164550,0,0,0
81959,10196700,215749,278600,148000,331887,488100,174100,138035,970000,-10000,8222295,8241140,8203430,0,0,0
59655,11848900,222386,309900,161200,417413,822000,111600,255021,990000,-10000,8202034,8211780,8194970,0,0,0
68048,12250500,230887,334700,142500,494267,1000000,128300,267535,890000,-10000,8161269,8194960,8138580,0,0,0
64854,11416400,237491,309500,171300,375805,687600,231800,223452,1000000,-10000,8198545,8239940,8167090,0,0,0
57751,10478800,229823,328700,162400,474639,713800,135500,421928,1000000,-10000,8232169,8248330,8220050,0,0,0
64115,12575200,241160,328600,190900,435959,748500,214700,348761,1000000,-10000,8225516,8236660,8206230,4,2540,0
55147,11185700,247198,322900,200500,363523,535500,194800,288493,1000000,-10000,8224379,8241660,8213750,0,0,0
60349,11441800,261665,338100,209100,288644,422800,122900,239728,990000,-10000,8232725,8245020,8218370,0,0,0
60656,12359600,261652,340700,203700,317815,638600,175900,279146,970000,-10000,8216354,8234790,8193060,12,2540,0
58541,11941900,262923,340700,191400,282496,634200,117600,304024,990000,-10000,8193903,8211000,8175480,7,2540,0
62454,11665300,229801,317700,156100,406703,764600,120000,270333,990000,-10000,8214396,8243430,8195980,0,0,0
77020,10897000,229728,314700,138900,476309,825000,257300,168215,890000,-10000,8214264,8235820,8197080,0,0,0
44904,10317900,261640,320400,203900,222980,430300,120100,434667,1000000,-10000,8206399,8218130,8200580,0,0,0
82204,10019800,241739,321300,180900,329703,605000,188500,70451,520000,-10000,8215012,8230150,8194030,0,0,0
74114,11473000,212112,269600,164900,608455,1000000,394800,170104,940000,-10000,8217607,8236300,8204980,49,10160,0
68389,11601200,216286,284700,168000,649112,990000,321100,189561,910000,-10000,8206574,8232430,8177730,0,0,0
72264,11064100,229641,314400,151300,504396,967000,187800,138868,750000,-10000,8174725,8199690,8158490,0,0,0
35841,10274000,240582,309300,191800,324401,564500,157600,385458,990000,-10000,8172833,8190870,8155270,0,0,0
69721,10489300,260218,331900,182800,243838,600400,74710,196701,940000,-10000,8191066,8219080,8175010,0,0,0
62434,12422400,246521,325300,185300,297699,634200,133200,364382,1000000,-10000,8226559,8239770,8207070,0,0,0
68830,11042600,247738,334400,168700,386610,714000,147700,180556,860000,-10000,8192805,8238460,8158600,2,2540,0
44743,11761700,190973,224300,155700,415759,655500,232100,504306,1000000,-10000,8221617,8246400,8176100,0,0,0
34343,8476610,177782,213200,142700,583031,792500,455400,522076,1000000,-10000,8213487,8524720,8199930,0,0,0
46347,13743100,190912,254700,136200,692392,1000000,411400,374486,990000,-10000,8190154,8204620,8173020,0,0,0
70220,11952900,221197,303800,153400,462367,962000,226200,189194,970000,-10000,8180171,8198350,8160920,0,0,0
58949,11546400,235620,302500,182200,365755,701000,198100,225333,930000,-10000,8168616,8192960,8151940,5,2540,0
70909,9988860,253782,343300,198200,257411,480800,100200,176056,990000,-10000,8163683,8175350,8139510,9,2540,0
58312,12204000,245190,321000,190500,278217,412400,119500,287653,990000,-10000,8169694,8184640,8155200,0,0,0
64847,11620800,233069,304500,170400,323294,556000,164700,345125,990000,-10000,8191693,8226120,8175570,5,2540,0
75468,9730970,198419,265900,131200,411162,704700,222800,79063,530000,-10000,8224596,8234250,8209570,0,0,0
79648,11366000,224899,300100,155500,253876,564100,106500,102139,680000,-10000,8213700,8229720,8194190,0,0,0
78369,9811770,226836,309000,133400,269861,625800,98100,62049,410000,-10000,8205241,8232250,8180120,0,0,0
60167,11074300,243557,314900,181400,182215,374600,101400,280535,1000000,-10000,8202131,8227580,8186410,0,0,0
67633,12048500,210997,304200,147600,377841,824000,135400,228924,980000,-10000,8224374,8255240,8205600,86,5080,0
70516,9663720,229197,303600,161200,303956,513300,169400,130764,970000,-10000,8205674,8223650,8186530,0,0,0
44985,10974500,208674,286400,143200,386749,789700,187200,325778,1000000,-10000,8194201,8224400,8180320,0,0,0
50913,10849300,144496,255400,81200,819117,1000000,322200,329708,1000000,-10000,8202563,8244550,8167230,56,2540,0
75406,9517460,151690,230100,84100,568876,1000000,261500,49500,150000,-10000,8200340,8237670,8181100,0,0,0
68618,9634390,216382,300100,126600,314649,541400,115100,164937,980000,-10000,8175022,8200600,8151600,0,0,0
56136,11178400,243371,306400,203200,203079,291900,102100,352444,990000,-10000,8152349,8162150,8136720,0,0,0
32983,8182620,218202,275700,155500,279322,574600,144300,388611,1000000,-10000,8178511,8216160,8144620,0,0,0
21390,9456770,152085,180300,115600,648802,997000,367600,486688,1000000,-10000,8218048,8235030,8198320,44,2540,0
48241,11170900,133818,192900,96600,672543,1000000,409200,265007,990000,-10000,8223730,8242120,8213720,11,2540,0
58899,11000300,160734,236000,107900,555215,833000,283300,169569,990000,-10000,8192005,8213660,8172630,19,2540,0
65936,11466800,196790,269300,109300,327899,579400,174700,201008,950000,-10000,8186652,8197810,8172210,0,0,0
45215,11851400,207902,280500,159800,306775,513200,157800,364840,990000,-10000,8210696,8248270,8190390,0,0,0
38770,9641250,184614,262700,133100,444209,755600,215100,402910,1000000,-10000,8244190,8266020,8227480,7,2540,0
61352,9261370,190120,259500,140200,469335,831000,243800,149736,890000,-10000,8246399,8257060,8229660,0,0,0
66293,10309600,186644,247500,126200,554053,699700,368000,201042,840000,-10000,8233410,8243730,8216850,0,0,0
64222,9055390,199388,282200,126600,531077,768800,276500,123806,960000,-10000,8208028,8228340,8185470,0,0,0
46053,10605200,213404,277100,158300,433742,753200,262600,308479,1000000,-10000,8175862,8197450,8155950,2,2540,0
48382,11604400,221412,296100,160800,333269,587700,162300,247243,970000,-10000,8151851,8168050,8134870,0,0,0
52262,11134300,203928,282900,145400,398922,606400,180600,211743,930000,-10000,8122421,8140600,8092840,0,0,0
64235,9235570,208994,299000,132200,306993,581900,104000,98875,780000,-10000,8129948,8153520,8109260,0,0,0
50765,11558900,180249,242200,145100,622682,1000000,384800,302819,990000,-10000,8170663,8191410,8152070,0,0,0
47572,10965600,199606,283500,128400,477083,1000000,119200,292931,1000000,-10000,8176601,8194700,8164750,0,0,0
68946,9097780,223775,302300,150500,162685,331200,74530,48278,180000,-10000,8172143,8195500,8144220,0,0,0
64805,9030410,162990,219700,81200,341677,623600,165400,105785,920000,-10000,8218283,8271130,8166000,0,0,0
67597,8981250,165763,263600,57980,357155,675200,127200,42220,150000,-10000,8230206,8267890,8196150,0,0,0
51549,9573480,226949,309000,138500,132027,231400,71230,288042,1000000,-10000,8174927,8202340,8146190,0,0,0
52054,11293700,170939,220500,99200,423895,1000000,201500,188789,990000,-10000,8174549,8210620,8141640,12,2540,0
19327,5202020,103348,155500,85500,934011,1000000,608000,418771,1000000,-10000,8216116,8242220,8199580,19,2540,0
53360,9315700,148471,228600,75150,672819,1000000,341500,198090,990000,-10000,8187765,8222630,8153610,0,0,0
47230,11037000,152266,215300,103500,447957,566300,288100,263590,940000,-10000,8185576,8208100,8161850,0,0,0
62313,8534550,143623,208500,77440,431043,720000,270600,45583,260000,-10000,8205800,8218950,8187700,0,0,0
57569,9882730,167746,248400,89600,323176,579200,131100,100313,530000,-10000,8190590,8213730,8166220,0,0,0
62955,8546070,223861,301600,122900,165753,279700,111900,60736,400000,-10000,8181521,8197560,8168730,0,0,0
61483,8534140,239574,304200,177200,155377,227000,89700,45701,190000,-10000,8207599,8226590,8193580,0,0,0
39888,8572770,241440,296400,200500,143754,220900,88600,446611,1000000,-10000,8198316,8218480,8183650,0,0,0
34409,10580800,214321,260500,174900,290546,478700,199400,355778,1000000,-10000,8175318,8189190,8166380,0,0,0
44724,10857000,161701,214500,113100,633514,1001000,392600,212417,970000,-10000,8154352,8177140,8118490,0,0,0
52430,9314650,186929,297200,113200,409977,892000,99900,124299,850000,-10000,8098652,8132060,8060970,0,0,0
50589,11396200,125530,198700,53310,316566,678600,154200,145931,990000,-10000,8171964,8245830,8129280,0,0,0
59417,8302250,124962,184800,75940,390591,561900,251500,41190,360000,-10000,8269116,8289050,8245950,0,0,0
59032,8235640,160783,234100,85700,281373,438100,163100,41611,290000,-10000,8258132,8279440,8239430,0,0,0
58482,8211060,183125,261700,100200,246798,413200,128000,45958,400000,-10000,8216323,8243140,8195490,0,0,0
56997,8069850,191304,266600,136900,235298,365100,139400,45701,550000,-10000,8243897,8260280,8220820,0,0,0
54740,8161250,178759,248800,96800,326840,545600,218700,86423,560000,-10000,8239798,8260090,8220450,0,0,0
26161,10113400,166551,214600,136800,448138,613400,334900,375150,1000000,-10000,8215674,8228830,8201790,0,0,0
51347,8792990,184865,249100,128900,340896,465500,214100,79736,600000,-10000,8186588,8203520,8168110,0,0,0
50691,10859600,193472,260400,144000,308088,459800,179900,126493,780000,-10000,8164203,8191930,8111220,0,0,0
54893,9502710,170298,254300,86600,259150,512900,120000,136979,760000,-10000,8053794,8111230,8011560,0,0,0
56091,8015060,102168,149700,49520,217046,327800,142000,39979,160000,-10000,8091237,8127120,8066110,0,0,0
38622,9715940,113464,167200,49590,233815,378100,149400,238528,1000000,-10000,8131999,8150420,8114710,0,0,0
29793,9863820,62176,114000,28710,742648,1001000,288000,291566,1000000,-10000,8185926,8229750,8145190,49,2540,0
54589,7905310,100154,183400,23570,308663,751200,110200,37243,280000,-10000,8227031,8244960,8210370,0,0,0
51683,7956230,148728,217600,69840,179811,289700,81200,114266,810000,-10000,8227340,8241920,8216440,0,0,0
39596,8864310,157082,224200,99200,237308,317700,153700,256118,980000,-10000,8201489,8227380,8182830,0,0,0
50635,7753140,186727,250700,140400,214639,306300,90900,119285,920000,-10000,8179833,8192990,8163470,0,0,0
40334,9635380,161354,237600,84000,371176,1001000,149600,168657,900000,-10000,8171809,8213910,8142380,0,0,0
12132,2792290,36899,86100,16080,996101,1001000,817000,395644,1000000,-10000,8218657,8232170,8200370,7,2540,0
45781,7381830,157099,239300,36430,288096,1001000,116000,143020,970000,-10000,8181288,8200960,8163260,0,0,0
33077,8959180,192230,265500,123800,180475,284500,110400,305271,1000000,-10000,8134699,8167780,8105510,0,0,0
47176,8692030,200577,276300,137600,175199,249600,107600,95317,680000,-10000,8123374,8137210,8113520,0,0,0
47896,7281530,193232,294300,100900,204070,459200,74640,44382,260000,-10000,8089928,8118510,8061760,0,0,0
45995,7107550,128378,250100,64560,365059,521500,119200,44739,230000,-10000,8067316,8135570,8030900,0,0,0
37257,8470500,95133,156900,44220,408493,795700,245700,133646,830000,-10000,8153632,8189780,8129860,0,0,0
48288,8435890,79136,135400,26890,444018,1001000,158500,49986,400000,-10000,8223064,8277750,8185030,0,0,0
47281,7160890,76716,150400,4780,313876,614500,126000,34513,170000,-10000,8252405,8283230,8202900,0,0,0
42727,7323740,160075,241700,65680,113510,175800,66290,200111,970000,-10000,8192177,8208640,8172530,0,0,0
45061,7071470,180464,262300,97000,119269,181200,68500,42826,200000,-10000,8163829,8189050,8139080,0,0,0
44089,8004270,144468,207200,75490,231698,335900,154600,90729,740000,-10000,8217521,8235510,8189260,0,0,0
40262,7580260,171466,252600,97000,188427,350800,99900,138569,880000,-10000,8211459,8234490,8181300,0,0,0
22403,10391200,163278,219900,123800,290107,401300,209500,290814,1000000,-10000,8189660,8223630,8174140,0,0,0
42857,6776350,156527,218000,102100,260671,423500,153800,37357,190000,-10000,8230377,8247970,8219800,0,0,0
41260,6679580,183312,270500,104200,138917,240500,69120,80806,670000,-10000,8203139,8230910,8171650,0,0,0
24416,6954050,194429,260400,152400,162416,247100,101800,333792,1000000,-10000,8169769,8183330,8159520,0,0,0
33328,8423980,172741,235500,75550,319213,942000,157200,123905,960000,-10000,8186983,8233060,8156890,0,0,0
28148,6966830,136146,231300,33210,525584,1001000,168600,297514,1000000,-10000,8185992,8229550,8120530,0,0,0
41431,6515240,180830,254400,102300,210862,394700,89500,55511,410000,-10000,8108756,8139340,8091950,0,0,0
33845,6688860,115030,177400,66520,376316,614600,244600,124007,870000,-10000,8136278,8182100,8110100,0,0,0
34131,6227700,94981,151000,61380,543613,811000,339000,81660,810000,-10000,8238875,8271440,8182300,2,2540,0
40114,6420850,119000,198700,52380,273732,529800,106100,31694,150000,-10000,8280853,8290990,8265640,0,0,0
38229,6178460,127673,199800,66020,253116,356100,158300,43535,360000,-10000,8258623,8285690,8229680,0,0,0
21596,7481780,121641,185700,89700,405912,605700,238200,262743,990000,-10000,8199301,8230150,8171030,0,0,0
34644,7463950,136862,204800,86600,334138,577600,183100,95999,530000,-10000,8167667,8191110,8144690,0,0,0
36855,6013470,116495,157000,57820,295573,416900,193700,30042,140000,-10000,8248340,8286620,8190130,0,0,0
36419,6153160,103812,174700,41810,289704,442100,146300,56780,430000,-10000,8284622,8299270,8267400,0,0,0
37084,6046400,133764,216700,64710,182609,280000,101700,31243,170000,-10000,8243395,8267360,8222520,0,0,0
35881,5897280,133477,187200,65770,247713,425900,141700,35690,290000,-10000,8257695,8290260,8228210,0,0,0